text,label,train or test,rater 1 label,rater 2 label,test rater label
assignment,3.5,test,4,3,3
At this point his tenure as Chair is marked mainly by vainglorious outbursts followed by months of reclusion.,6,train,6,6,
Awesome! I've heard that Mana is in the middle of touring at the moment. You might be able to catch a show if you're in the US or Latin America.,5,train,5,5,
backache,3.5,test,4,4,2.5
Banks require 5000 rupiah.,3,train,3,3,
beautiful snow.,1,train,1,1,
Because I've always been very interested in justice and pursuing the truth.,5,test,5,5,4
Because I've got my own business and I've got two kids at home.,3,train,2,2.5,
Because it's a very complex system of equations that take a long time to calculate by hand.,4.5,train,4.5,4.5,
"Before fully describing our formal model and our results, in the remainder of this introductory section, we explain the motivation for this work.",5.375,train,5,4.5,
"Before you go, I have one more question. Who is going with you tonight?",3,train,3,3,
Being on the fence is an idiom that means being undecided about something.,4,train,3,4,
Beyond the moon and the stars.,3.5,train,3,4,
Birthday party.,1,train,1,1,
Both kids are very sturdy and masculine. Their dad is completely polar opposite - super skinny.,5,test,6,6,5
Bram's attraction to modelling this Stug is due to the heavily weather worn paint finish and the desolate look of the Stug III's remains.,6,test,6,6,6
brief,3,test,2.5,4,3.5
Bullying and sexual harassment are some of the most critical issues.,4.25,test,4.5,4,4
Bullying has to be addressed at an early age.,4.5,train,5,4,
buy,1,train,1,1,
"By perseverance, just not giving up even when things seem impossible.",5.5,test,6,5,4.5
By perseverance.,4,test,4,5,3.5
"By using less water when we clean, we can reduce the amount of water that is wasted.",4.5,test,5,4,3
"Bye for now, Diana. I hope to see you soon!",3,test,3,3,2
can I do anything,3,train,3,3,
"Can you use this? Yes, I can. I used it before.",2,test,2.5,1,2
"Canada has great places, such as the Museum of Modern Art! Want to roleplay getting tickets there?",4,test,4.5,3,2.5
Celery is a low calorie vegetable.,4,test,5,3,3.5
"Certainly, we have a wide variety of cookies to choose from. We have classic chocolate chip cookies, as well as more unique flavors such as oatmeal raisin, peanut butter, and sugar. We also have seasonal cookies, such as gingerbread and sugar cookies for the holidays.",5,train,3,3.5,
Certainly. A glass of H2O will be forthcoming.,5,test,5,6,5
"Certainly. Our soup du jour is a hearty lentil soup with a touch of sweetness from the carrots and celery. For a lighter option, our Caesar salad is made with fresh romaine lettuce and a creamy dressing.",5,train,5,5,
chair,1,test,1,1,1
"Chapters are essentially 'local branches' of RSES, established and run by members located within similar geographic boundaries.",4.5,test,4,5,4.5
Clinical trials have been halted while regulators review safety protocols and efficacy.,6,test,6,5,5
Colors evoked a building's surrounding environment and connected it to the landscape.,6,test,6,5,4.5
comfortable,2.25,test,2.5,2,2
Coming right up! That will be 26 pounds.,3.5,test,3,4,4
"Commencing on July 1, and every two years thereafter, the Governor, in consultation with the Department of the Treasury, shall adjust the threshold amount in direct proportion to the rise or fall of the consumer price index for all urban consumers in the New York City and the Philadelphia areas as reported by the United States Department of Labor.",6,test,6,6,6
Commitment is key to reaching our goals.,4,test,4.5,3.5,4
Commitment to our goals is the key to our success.,4.25,test,4,4.5,4.5
"Community service is considered mandatory, not optional.",5,train,5,5,
computer,1,train,1,2,
Consistency in both quality and design.,3.5,train,3,4,
Consistency in quality and service.,4.25,train,4.5,4,
Consistency in terms of quality.,4.75,train,5,4.5,
"Contrary to everyone's expectation, the previous ruling was overturned in the end because the new evidence disproved the defendant's alibi.",6,test,6,5,5
Cool! Do you play on a team with other people?,2.5,test,2.5,2.5,3
Cool! I personally love to watch movies that have characters with unique traits like the ones from Guardians of the Galaxy--they're hilarious.,5,test,5,5,4
"Cool! I really enjoy listening to those bands myself. I really like ""I Love You To,"" off of the Rolling Stones' album Aftermath.",4,train,4,4,
Cool. What about The Force Awakens? What are your thoughts on that movie?,3,test,3,3,2.5
Coordinators write an introduction and can commission up to two full-length papers to appear in special fixed sections of the journal to round out the submissions received through peer review.,5.5,train,5,5,
Could you help him?,2.875,train,3,2,
crazy,1.5,test,2,1,2
critics,4,test,4,4,4
decide,2,test,2,2,1
Departure is at 10:30.,2.5,test,3,4,3
designation,5,test,5,5,5
despite,3.5,test,4,3,3
"Development and sustainability are two seemingly different concepts. If so, how could the mankind achieve sustainable development?",6,test,6,6,4.5
Did this hotel used to be someone's home?,3.75,test,4.5,3,2
did you find your keys,2.5,train,2.5,2.5,
Did you like it? What did you like most about it?,3.5,test,3.5,3.5,2
Did you read the news yesterday?,2,train,2,2,
Did you see the new soap? I'm sure I put it somewhere around here.,3,train,3.5,2.5,
"Did you watch this movie? Do you like it? Yes, I Iike it very much.",1.5,test,2,1,1
"Digital components and assemblies typically improve audio quality and flexibility, but they can cause new issues in timing and privacy.",6,train,5,4.5,
Discipline and practice.,4.5,train,4.5,4,
Dizziness is a common symptom of an ear infection.,4,train,4.5,3.5,
Dizziness is one of the symptoms of an ear infection.,4,test,3.5,3,4
Do I need a purpose all the time? Meetings can be informal.,3.5,test,4,2,2.5
Do they want anything else?,2.25,test,2.5,2,2
"Do you have a car? Yes, that is my car. New car.",1.5,train,2,1,
Do you have a cold?,2,train,3,3,
"Do you have a favorite movie character? Mine is Marty McFly from ""Back to the Future"".",3,train,2.5,3.5,
Do you have any homework? No homework this weekend! I am happy.,2,train,2.5,1,
"Do you like books about science, like The Periodic Table of the Elements or How the Universe Works?",2.5,test,3,3,2
"Do you like crime shows, like CSI? If so, why do you like those type of shows?",3,test,3,3,2.5
Do you like roller coasters?,2,train,3,3.5,
"Do you like stories that have happy endings? What about sad endings, or just plain confusing endings?",4.5,train,4.5,3,
Do you like the characters in romantic comedies? Some are very sweet and some are funny.,4,test,4,4,2
"Do you like the plot of ""The Conjuring""? The bad guys are spooky! It's about two ghost hunters, who go into a house that is supposedly haunted.",3.25,train,3,3.5,
"Do you like to read books set in different times and locations, or do you prefer to read books about situations that you can relate to?",4.75,train,5,4.5,
Do you like to visit your hometown?,2.25,train,2,2,
Do you prefer the winter or the summer?,2,train,2,2,
Do you speak Spanish?,1,train,1,2,
Do you think you're better at it than when you first started?,4.25,train,5,3.5,
Do you think your parents have many secrets? I'm sure they do! Maybe it's good that we don't know those.,3,train,3.5,2.5,
Do you want any cream in your coffee?,2.5,test,3,2,2
"Do you want any sugar, or maybe something else to make your drink taste better?",3.75,train,4.5,3,
Do you want to see all the content of Claude?,3.5,train,4,3,
"Do you watch season by season, or do you like to wait until they're all released and binge watch them?",5,train,6,4.5,
Don't mull it over for too long.,5,test,6,5,6
"Don't undersell your experience and skills during an interview. Very often, interviewees are unaware of how unique they are.",5,test,5,6,4.5
Don't worry. You're not late at all.,3.25,test,3.5,3,2
DS stands for Double Security and means that the watches are made with an extra strong case and extra strong glass to extend the life of the watch.,5,test,6,5,4.5
due diligence,4.5,train,4,5,
Earlier in class I nodded drowsily -.- Afonso was determined to try updating this blog everyday so that this blog won't get too dusty.,5.5,test,6,5,6
"Education takes place across numerous spaces, exploding the idea of traditional schooling sites, with learning not siloed into rigid disciplines.",6,test,6,6,6
effervescent,6,test,5,6,5
empty,2,train,2.5,2,
endeavor,5,test,5,5,4.5
"Especially for fardhu prayers, the times have been set by following the circulation of the sun and not by following the fixed time intervals.",6,train,6,6,
"Every time this candidate speaks, I'm so impressed by his speech because he's virtually eloquent on any topic.",5,test,5,5,6
Everything is out of stock right now. The whole supply chain is disrupted. I'm not confident if we can resume our business anytime soon.,5,train,6,5,
finally,2,train,2,2,
five dollars,1,test,1,1,1
"Foods with a low glycemic index have less of an immediate impact on blood glucose levels, and therefore can help diabetics control their blood sugar.",6,test,6,6,5
"For herbal tea, we have blueberry chamomile, chai, rooibos, fennel tarragon, and nettle.",5,test,3,2,3
"For your next visit, all you need to call up your personal information is your email address and your password.",4,train,2.5,3,
"Foreign investment flowed generously, with incentives aimed at increasing semiconductor production and renewable energy technology.",6,test,6,5,4.5
"Fortunately, the scientist eventually succeeded with their experiments, but very often, a number of scientists wouldn't achieve the desired outcomes under pressure.",6,test,6,6,4.5
four,1,test,1,1,1
Frameworks are tools rather than solutions. Knowing a few will come in handy when you face unprecedentedly complex problems.,6,train,6,6,
"From this link you can download the print quantity form, which you can return via e-mail or with the sample calendar.",3.5,test,3,4,4.5
furniture,2,test,2,2,2
"Furthermore, from October 4th, advance distribution is set to start on the distribution site, Subsc.",5,train,5,5,
Germany,1,test,1,1,1
Get off your high horse and lend me a hand. This house isn't going to paint itself.,6,test,5,6,6
Go through the third door on the right.,2.5,test,2.5,2.5,2
"Good idea! ... Well, nothing in my t-shirt, but I think we're getting warmer. Anywhere else?",4,test,3.5,4.5,3
"Good, the restaurant is located on Main Street. It's across the street from the bank, next to the movie theater.",3.5,test,3.5,3.5,2
Good! So I'm making a TV series called Smudge on Culture. Each season will feature a different culture.,4.25,test,4,4.5,3.5
"Got it, any type of milk?",3,test,3,3,4
government,2,test,2,2,2
"Gramsci is recognized for the concept of hegemony as it is most commonly applied today, involving the political dominance and authority of a ruling class and state, as well as the inclusion of cultural hegemony and ideology in order to create and maintain a cohesive rule over the subaltern.",6,train,6,6,
"Great, I hope you feel better soon! If you are sick or injured and need help, you can call the emergency services (911). They might take to to the hospital.",4,test,4.5,3.5,3.5
Great! Come to the front desk at 1:00. See you then!,2.75,test,2.5,3,2.5
Great! I'm having a really good day!,2.25,train,2.5,2,
"Great! Now, just sit back, relax, and I'll read the book to you. Do you like to listen to stories?",3,train,3.5,2.5,
Great! Who's your favourite character?,2.75,train,3,2.5,
hand,1,train,1,1,
Have you ever been to the zoo?,2.25,test,2.5,2,3
Have you read anything good lately? I am looking for a book to read.,3.75,train,4,3.5,
Have you seen the whole show? I watch it on Netflix. What is your favorite episode?,3.5,train,3.5,3.5,
He feigned indifference.,6,train,5,6,
He is from France.,1,train,1,1,
He is not here. Do you want to call him?,2,train,2.5,1,
He is studying mushroom spore dispersal.,6,train,6,6,
He is twelve.,1,train,1,1,
He isn't here.,1.5,train,2,1,
He likes chocolate.,1,train,1,1,
He likes this color.,1.5,train,2,1,
"He sweltered under a delirious fever, succumbing to the hallucinations.",6,train,6,6,
"He was taken into custody and booked on charges of grand larceny, embezzlement, and extortion.",6,train,6,6,
He's fair and gives praise as well as constructive criticism.,4.75,train,4.5,5,
head,1,test,1,1,1
"Hehe! I'm always happy to see you, too!",3,train,3,3,
hello my name is Jackie,1,test,1,1,1
"hello, I'm Helena. what's going on?",2.5,train,3,2,
Hello! What’s wrong?,2.25,train,2,2.5,
her friend,1,test,1,1,1
Here you go. I hope you have a nice trip.,3.25,train,3,3.5,
hey,1,train,1,1,
"Hey, Bearnard the polar bear here! I was wondering -- what sports do you like to watch, and why?",3.5,train,4,3,
"Hey, it's me, Bearnard the polar bear! In this lesson we are going to practice seeing a doctor. Let's roleplay, I'll start: Hi, I'm Dr. Bearnard. How are you feeling today?",3.5,train,5,4,
"Hey, what should we do tonight?",3.25,test,3.5,3,2
"hi Manuel, I like hip hop. Do you like any rap music?",2.5,test,2.5,2.5,2
hi my name is Abbie,1,train,1,1,
hi what's going on,2.5,train,3,3,
"Hi, I can help you with that. What day and time would you like to reserve the table for?",4,test,4.5,3.5,4
Hi! My courses are hard this semester.,3.25,test,3.5,3,2
Hi. How are you? Not very well actually. I am very tired. I cannot stop coughing and I have a headache. Should I take somos medicine?,2.5,train,3,2,
Hi. I'm Joe. I am a doctor.,1,train,1,1,
Hiking in nature is the best.,3.5,test,3.5,3.5,2.5
His car completely totaled in a car crash.,5,train,6,5,
"His curious mind and tenacity to deep dive into issues of interest is why he's successful in his domain, which he likely inherited from his grandmother.",6,train,6,6,
His friends refused to go home. We simply don't understand why!,4,train,4.5,2.5,
"His pain became unbearable, so much so that his daily life was significantly affected. The doctor prescribed him anti-inflammatory medicines to bring it under control.",6,train,6,6,
His quest was to make government bureaucracies nimbler.,6,test,6,5,5
His warnings not to fraternize with the enemy went unheeded.,6,train,6,6,
"Hmm, maybe let's try to stay hydrated and get plenty of rest. If you can't get enough rest, maybe try using a humidifier or vaporizer in your bedroom to help you breathe more easily.",4.75,test,4.5,5,4.5
"Hmm. How often do you feel this pain? Is it all day long, or just certain times? Do you have any other symptoms besides headaches?",4.5,test,4,5,3.5
"Hmm. No, not there... What about the pockets on my sweater?",3.25,test,3,3.5,3.5
Hmm... have you tried any over-the-counter medication yet? You could try taking a couple of paracetamol or ibuprofen.,4.375,train,5,3.5,
"Hmmm it could be food poisoning or an allergic reaction. Do you have any other medications that you take on a regular basis like anti-depressants, birth control, or blood pressure pills?",5.25,test,4.5,6,4.5
hobby,1,test,1,1,1
home,1,train,1,1,
hope,1.5,train,2,1,
"Hopes for a rebound have fizzled, as GDP growth has cooled to near 3%, falling short of targets to hit a much higher annualized rate.",6,test,6,6,5
how about Paris,2.5,train,2,3,
How about using the adjective 'vast'?,4,train,2,2.5,
How are you?,1,test,1,1,1
How are you? Are you hungry? I had lunch. I'm fine.,1,test,2.5,1,1
How beautiful!,2.5,test,2.5,2.5,1
How can we overcome our challenges to reach our goals?,4.75,test,4.5,5,4
How do you keep track of all your tasks?,4.5,test,4,5,4.5
How many kids are there?,2,train,2,2,
How old is he? He is eleven.,1,test,1,1,1
How's the criminal justice system of this country different from yours?,5,test,5,5,4
"However, few works in music history appear to be so permeated with spirituality, not only regarding the text but also regarding the music itself.",6,test,6,6,6
hungry,1,test,1,1,1
I actually really enjoy biology.,3.5,train,4,3,
"I agree that my coach should have helped me improve my forward position. However, I am grateful that he gave me the opportunity to try another position, as it allowed me to learn new skills and develop my versatility.",5,test,5,5,5
"I also like a good ceviche on fish tacos. Do you like ceviche? It's raw fish marinated with some onions, lime, and cilantro, and sometimes red onion, serrano peppers, and of course, guacamole. I think that might be the best thing I ever put guacamole on.",5,test,5,5,4.5
I also offer cover letter writing and create LinkedIn profiles - all essential tools to attract employers and help you get the job of your dreams.,5,train,5,5,
I am definitely leaning towards accepting it.,3.5,test,3,4,4
"I am delighted to hear that you enjoy movies, for they are a form of art that can transport us to other worlds and teach us about ourselves and the world around us.",4.75,test,4.5,5,4.5
I am fine.,1,train,1,1,
I am grateful to have nice neighbors.,3.25,train,3,3.5,
I am happy.,1,train,1,1,
I am looking forward to it being a fun safe space for our community.,5,test,5,5,4
"I am not qualified to provide medical advice. If you are unsure about what medication you are taking, please consult with your doctor or pharmacist.",4.75,test,5,4.5,5
I asked that the board consider my proposal but they responded with swift disregard.,6,test,6,5,6
"I believe it to be genuine, since it's from a very respected museum.",5,train,5,5,
I bought it at my friend's store. She made it.,2,test,1,2,2
I can help you out now that I'm free.,4,train,4,4,
I can try,2,train,2,2,
"I can work well with others, but I'm more of an individual.",4,train,3,2,
I concur with your assessment. Chandler is a witty and charming character who is always able to find the humor in any situation. His sarcastic wit and dry humor are a constant source of amusement for his friends and viewers alike.,4.5,test,4,5,6
I concur with your proposal to convene at the establishment of culinary fare.,5.5,test,6,5,6
I consider integrity to be a very important virtue.,4.75,train,5,4.5,
"I could teach you about the pancreas, what other organs do you want to know about?",4.25,train,4.5,4,
I didn't understand the noise last night.,2.25,test,2.5,2,2
"I don't know if the rumors are true or not, so I'm not going to accuse them of anything",4.75,train,5,4.5,
"I don't know, but I think it's genuine.",3.5,test,3,4,4
I don't know. I am concerned.,3.25,train,4.5,2,
I don't mind if they give it to me in a nice way.,3.5,test,3,3.5,2.5
I enjoy listening to heavy metal.,3,test,3,3,3
I enjoy trying them on at the store.,3,train,3.5,2.5,
I find them pretty arrogant.,4,test,3.5,4.5,4.5
I get to take it,2.75,test,2.5,3,2
I got a lot of clothes. Where else could they be?,4,test,4,4,2
I got some spinach we could add to it.,4,test,4.5,3.5,2.5
I guess it'll be sunny.,3.25,train,3,3.5,
I have a few ... Wait! I found them in a sock under my pillow! Thanks for your help!,2.75,test,3,2.5,2
"I have a few examples of reading journal entries that I have found to be particularly insightful and thought-provoking. In one entry, the reader reflects on the themes of identity and belonging in the novel ""The Color Purple."" In another entry, the reader discusses the challenges of grief and loss as they relate to the book ""The Year of Magical Thinking."" Finally, in one entry, the reader explores the power of language and storytelling as they relate to the book ""The Book Thief."" I hope that these examples will inspire you to start your own reading journal and to explore the depths of your own thoughts and feelings about the books that you read.",6,test,3.5,4.5,4
"I have a laptop, as well as a desktop computer.",2.75,train,2.5,3,
"I have a nice garden with flowers, trees, and a small pond.",3.25,test,3,3.5,1
I have a picture of me and my family at the beach.,2.75,test,3.5,2,2.5
"I have all kinds of flowers in my garden, some of them are very rare!",4,test,4,4,3
I have ideas,1.5,test,2,1,1
I have lived here since I was 4.,2.75,test,3,2.5,2.5
I have one sister.,1,test,1,1,1
I have some food.,1.5,train,2,1,
"I have to learn about French history for a class I'm taking, do you know anything about it?",4.5,test,5,4,3
I haven't met him.,2.25,test,2.5,2,2
"I haven't read all claims yet. Whatever I say now would be completely speculative and ungrounded, so I'd rather not.",6,train,6,6,
I hope you had a nice time!,3.25,train,3.5,3,
"I hope you will grant me permission but if not, I understand.",4,train,4,4,
I just stayed home and did nothing.,2,test,2,2,2.5
I know a lot about the disease and how it spreads.,4,test,3.5,4.5,3
"I know that he was an Italian Renaissance painter, sculptor, architect, poet, and engineer.",4.5,test,4,5,4
I learned some new words from a book I'm reading.,3,test,2,2,2
I left because I wasn't happy there.,3.75,train,3.5,4,
I like AC DC,1,train,1,1,
I like apples.,1,train,1,1,
I like dogs.,1,test,1,1,1
I like it. How much is it?,1,test,1,2,1
I like pop,1,train,1,1,
I like the classics over remakes.,4.75,test,4.5,5,2.5
I like the kitchen as I can cook here.,2,test,2,2,2
"I like The Lion King because it has an interesting character, Simba, who becomes king.",3.75,test,4,3.5,3
"I like the main character, Tuco. He's a greedy criminal who teams up with two other men.",4,train,3,4,
I like to explore the city on my bike.,3,train,3,1,
I like to thing that whatever happens is because of fate or destiny.,3.75,train,4,3.5,
I like to walk in the morning.,1.5,test,2,1,2
I liked Spider-Man 2. It had a cool scene where Doctor Octopus threw a car at Spider-Man. Did you think that was a cool scene?,3.5,test,3.5,3.5,2.5
I live in Colombia,1,train,1,1,
"I love getting out, getting on my bike and exploring new places.",4.75,train,4.5,5,
I love it when I know I will have a good conversation with someone.,4.25,test,4.5,4,3.5
I love rock,1,train,1,1,
"I love rock and roll! I wish I could form a band, though I don't know how to find people in my area. Any tips?",4.25,train,4,4.5,
I love the characters! There's a lot of interesting characters in those movies. Can you tell me about your favorite characters?,3.25,test,3.5,3,2
I love the fact that it has so many features.,3.25,test,3,3.5,2.5
I love to cook. I can make dinner for you tonight. What do you like to eat?,2,test,2,2,2
"I may be able to, but I'm not sure yet.",3,test,5,4,3
"I must admit, I wrote him off at first, but he's growing on me.",6,train,6,5,
I need to go,1.5,train,2,1,
I need to go to work.,1.5,test,2,1,1
I often recommend the book to my coworkers.,3,train,3,2.5,
I only have about ten minutes.,2.75,test,3,2.5,2.5
I promise everything will be fine.,2.5,train,3.5,2,
"I recommend a caesar salad, but if you're feeling more adventurous, I can recommend the house soup.",4.25,test,4.5,4,3
I saw many reporters on the street doing some research.,3,test,3.5,2.5,2
"I see. Can you describe the pain in more detail? Is it sharp, dull, or burning? Is it constant or does it come and go? Is it worse when you swallow?",4.5,test,4,5,4
"I see. Dulce de leche is a popular dessert in Argentina, and it is often used as a filling for pastries and other desserts. Empanadas are also a popular dish in Argentina, and they can be filled with a variety of ingredients, such as meat, cheese, or vegetables.",5,test,6,4.5,3
I see. That is a pertinent piece of information. I will need to adjust my recommendations accordingly. Please inform me of any other allergies you may have.,6,test,6,5,6
I see. You are a person of discerning taste. I too enjoy action movies with a high degree of narrative and visual dynamism.,6,train,6,6,
I suggest you quit your chitchatting and get on with it.,5,test,6,5,5
I tend to avoid those people as much as I can.,4.25,test,4.5,4,3.5
I think it's going to be overcast all day.,4,train,5,5,
"I think it's salty enough, but you can add more if you want to.",4,train,4,4,
I think that's a great offer. You should take it!,2.5,train,3,2,
I think the plot will thicken and there will be a lot of drama.,5,test,5,5,6
I think they're down the hall.,3,train,3,3,
I think we should be prepared for a potential storm threat.,4.75,train,5,4.5,
I thought it was hilarious!,3.75,test,4,3.5,4
"I tried to make my own pizza once, but it turned out to be a pathetic excuse for dinner.",5,train,6,5,
"I try to avoid conflict, but sometimes it's unavoidable.",3.875,test,3,4,3.5
"I understand your frustration. It is indeed unfortunate that the weather will not cooperate with your plans. However, it is not uncommon for the weather to change unexpectedly, and it is always important to be prepared for such eventualities. Perhaps you could consider rescheduling your trip to the beach for a later date, when the weather is more favorable.",4.75,train,5,4.5,
"I usually take 800mg of ibuprofen or 600mg of extra strength tylenol. They both work fine. Are you going to take over-the-counter or prescription medication? If prescription, I will need to call the hospital.",4.25,test,4,4.5,5
"I want a coffee, please.",1,test,1,1,1
"I want a liberal amount of chocolate, please.",5,test,2,4,5
I want extra sugar in it.,2.75,test,2,3.5,1
I want these tours,2,train,2,2,
I want to follow my passion and become a professional dancer.,4,test,4.5,3.5,3
I want to go.,1.25,test,1,1,1
I want to leave a legacy of peace and love for future generations.,4.5,test,5,4,5
I want to travel in June,2,train,2,2,
I want to travel to London,2,train,2,2,
"I was accused of withholding the classified information for a prolonged period of time. However, investigations confirmed the validity of my action, given the circumstance.",6,train,6,6,
I was reading a mystery novel yesterday. Do you enjoy mysteries?,2,train,2,2,
I was so naive as a child. I did a lot of embarrassing things.,4.5,train,2,3,
I was very desperate to get back to shore.,4.5,train,4,5,
I went to the movies with a friend.,2.75,test,3,2.5,2
I will do it,2.25,test,2,2.5,2
I will! Bye for now!,3,test,3,3,1
I will.,1.75,train,2,2,
I wonder if there's any treasure.,3.25,train,3.5,3,
"I would be delighted to assist you with your reservation for the Vegas. May I inquire as to the date and time of your desired reservation, as well as the number of guests in your party?",5.5,test,5,6,5
"I would be delighted to provide you with a steaming cup of coffee, with sufficient space for dairy products and without any added sweeteners.",5,test,5,5,4.5
"I would love to go to the beach so much. I just love the colors of the water and the fun of playing in the sand. All sorts of cool stuff washes up on the shore, too.",3.5,test,4,3,3
I would love to see Athens,2.25,test,2.5,2,3.5
I'd like 100 please,2.5,train,2.5,2.5,
I'd rather try it on before I buy it.,4.25,test,4.5,4,2.5
I'd say about an hour.,3.25,train,3,3.5,
"I'll check! ... Wow! My keys were in my pocket! Now I can get back into my igloo! Thanks, friend!",3.75,train,3.5,4,
I'll have to ask my boss to allow me to adjust my schedule.,4.75,test,5,4.5,3.5
"I'm a fan of this author whose literary work never ceases to amaze me. Her witty but bizarre plot is amusingly enhanced by her creative repertoire of rhetorical expressions. As soon as her new book is published, I devour it to the extent that I forget to eat or sleep until I finish reading it.",6,train,6,6,
I'm concerned that I might fail.,4,test,4,4,4
I'm concerned that I won't pass.,4,train,4,4,
I'm down to try that.,5,train,6,5,
I'm going.,1,test,1,2,1
I'm happy our community is getting a new park.,3,train,2,2,
I'm looking to the future with hope.,4.25,test,4,4.5,2
"I'm not an authority on giving speeches, but take a deep breath and speak with confidence.",5,test,5,5,3
"I'm not really the spontaneous type. So, yeah,  I usually plan things in advance.",4.5,train,4.5,4.5,
"I'm not sure yet. I have some tentative plans, but nothing firm.",3.75,test,4,3.5,4.5
I'm pretty sure,3,test,3,3,1
I'm really bad at making quick decisions.,3.5,train,3.5,3.5,
"I'm scared of spiders, but I'm trying to get over my fear.",4.25,train,4,4.5,
I'm so down about the price hikes.,4.75,train,5,4.5,
I'm sorry,1,test,1,1,1
I'm sorry to hear that. Can you tell me in more details when you first had the stomach pain?,3,test,2,2.5,3
I'm studying art at the university.,2,test,2,2,1
I'm very happy you are here with us!,2,test,2,2,2
I'm very sad. I miss him so much.,3,test,3,3,2
I've still got mountains of work before I can come up for air. It'll be another week of heavy lifting and then I think I'll be in the clear.,5,test,5,5,6
"If a commissioner determines that any public land should be sold, exchanged, or otherwise conveyed to a private party, the commissioner may offer the land first for private sale to any owner of contiguous land at a price to be established by the commissioner.",5.75,train,6,5,
"If a professionally recommended product is overdue, the insuring party who recommends the product shall pay the investor the principal and agreed benefit in accordance with the stipulations in the insuring measures.",6,train,6,6,
"If I'm lucky, I'll be able to see the asteroid belt in the night sky.",4.5,train,5,4,
"If something goes awry, someone should be able to spot it.",5,test,6,6,5
"If this is the case, do you have medical records for this visit?",3.5,test,2,3,3
"If you find them, let me know!",3.75,test,4,3.5,2
"If you have a bank account, then there must be a working registered mobile number with it.",4,test,4,4,4
"If you have any spare time, what do you like to do in your free time apart from playing volleyball?",4.25,test,4,4.5,4.5
"If you like coffee with cream and sugar, would you prefer plain coffee or something like latte or cappuccino?",4.75,test,5,4.5,2.5
"If you like this kind of movie I'd recommend ""Thelma and Louise"", it's a great movie and it's about two women on the road.",3.75,train,3.5,4,
If you need any help you know where to find me,3.5,test,5,4,3
impossible,2.25,train,2,2.5,
"In any case where external crane services are required, the customer shall incur the charge.",6,test,6,5,5
"In fermentation, microorganisms, such as bacteria and yeast, break down sugar in an anaerobic environment.",6,train,6,5,
in front of,2,test,2,2,2.5
"In order to reduce the risk of local recurrence, adjuvant radiotherapy is prescribed post-surgery.",6,train,6,6,
"In the case of this particular review, no tests had to go that route, as most of the benchmarks are very good at delivering similar results with each repeated run.",5.25,train,6,4.5,
in your pants,2,test,2,2,1
in your pants?,2.5,train,1,4,
"Inclusion of superfoods in your diet is expected to bring many health benefits, which could be boosted even further by a moderate amount of regular cardiovascular exercise.",6,train,6,6,
"Indeed, a plethora of options is available, which may present a challenge to the discerning customer.",6,test,3,4,6
"Indeed, I concur with your friends' recommendations. I believe that you would enjoy reading fantasy or science fiction, as it would allow you to simultaneously learn and be engrossed in a captivating narrative.",6,train,6,6,
"Indeed, I shall add the appointment to your calendar and send you a reminder in advance. In the meantime, I recommend that you rest and drink plenty of fluids.",5,train,3,4.5,
